2017-11-30 05:00:40:	Starting Log...
2017-11-30 05:00:40:	logInfo	ID:485420868	First:Qlik Cool Bot	Last:	UserName:WZQlikCoolBot	<Timer for alerts started with 60 seconds>
2017-11-30 05:00:40:	Starting Log...
2017-11-30 05:00:40:	Started and Callback set for Bot WZQlikCoolBot
2017-11-30 05:00:48:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:00:53:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:00:58:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:03:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:08:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:13:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:18:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:23:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:28:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:33:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:39:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:44:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:49:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:54:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:01:59:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:04:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:09:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:14:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:19:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:24:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:29:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:34:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:39:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:44:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:49:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:54:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:02:59:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:04:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:09:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:14:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:19:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:24:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:29:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:34:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:39:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:44:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:49:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:03:54:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:04:00:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:04:05:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:04:10:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:04:15:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:04:20:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:04:25:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:04:30:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-30 05:04:35:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
