2017-11-19 18:17:24:	Starting Log...
2017-11-19 18:17:24:	Started and Callback set for Bot WZQlikCoolBot
2017-11-19 18:17:38:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:17:59:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:18:30:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:18:35:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:18:42:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:18:47:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:18:52:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:18:58:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:03:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:08:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:13:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:18:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:23:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:28:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:33:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:39:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:44:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:49:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:54:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:19:59:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:20:04:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:20:09:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
